Height,Weight,Gender,BMI Class,Calories Maintained,Diet
173,89,Female,1,2918,"Breakfast: Turkey sandwich, veggies, Lunch: Greek yogurt with berries, Dinner: Grilled chicken salad, Snacks: Rice cakes with peanut butter"
186,98,Female,3,2270,"Breakfast: Grilled chicken, quinoa, Lunch: Baked sweet potatoes with chicken, Dinner: Baked salmon, steamed broccoli, Snacks: Handful of mixed nuts"
185,103,Female,4,1840,"Breakfast: Smoothie with spinach, banana, Lunch: Smoothie with spinach, banana, Dinner: Grilled fish, salad, Snacks: Rice cakes with peanut butter"
169,51,Male,3,3000,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked sweet potatoes with chicken, Dinner: Baked sweet potatoes with chicken, Snacks: Carrot sticks with hummus"
177,67,Female,0,2519,"Breakfast: Oatmeal with fruits, Lunch: Fruit smoothie, Dinner: Low-fat yogurt with honey, Snacks: Handful of mixed nuts"
159,81,Female,5,1689,"Breakfast: Protein shake, almond butter toast, Lunch: Lean beef, roasted vegetables, Dinner: Protein bar, Snacks: Rice cakes with peanut butter"
162,110,Female,2,1798,"Breakfast: Chicken wrap with veggies, Lunch: Stir-fried tofu, brown rice, Dinner: Stir-fried tofu, brown rice, Snacks: Trail mix"
172,107,Male,2,2163,"Breakfast: Grilled salmon with quinoa, Lunch: Chicken wrap with veggies, Dinner: Scrambled eggs, whole wheat bread, Snacks: Trail mix"
153,113,Male,4,1898,"Breakfast: Grilled fish, salad, Lunch: Smoothie with spinach, banana, Dinner: Grilled fish, salad, Snacks: Carrot sticks with hummus"
188,88,Male,3,2436,"Breakfast: Baked sweet potatoes with chicken, Lunch: Baked sweet potatoes with chicken, Dinner: Grilled chicken, quinoa, Snacks: Greek yogurt with granola"
165,80,Male,3,2390,"Breakfast: Baked sweet potatoes with chicken, Lunch: Greek yogurt with nuts, Dinner: Grilled chicken, quinoa, Snacks: Protein bar"
171,99,Male,1,1488,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Whole grain toast, avocado, Snacks: Greek yogurt with granola"
158,62,Female,4,2177,"Breakfast: Quinoa salad with feta cheese, Lunch: Chicken breast with steamed veggies, Dinner: Chicken breast with steamed veggies, Snacks: Protein bar"
173,51,Female,4,1949,"Breakfast: Quinoa salad with feta cheese, Lunch: Smoothie with spinach, banana, Dinner: Quinoa salad with feta cheese, Snacks: Trail mix"
158,51,Male,3,1256,"Breakfast: Baked salmon, steamed broccoli, Lunch: Grilled chicken, quinoa, Dinner: Baked sweet potatoes with chicken, Snacks: Carrot sticks with hummus"
178,51,Male,1,1352,"Breakfast: Turkey sandwich, veggies, Lunch: Greek yogurt with berries, Dinner: Turkey sandwich, veggies, Snacks: Rice cakes with peanut butter"
181,78,Male,5,1947,"Breakfast: Protein shake, almond butter toast, Lunch: Protein shake, almond butter toast, Dinner: Lean beef, roasted vegetables, Snacks: Carrot sticks with hummus"
162,65,Male,3,2056,"Breakfast: Greek yogurt with nuts, Lunch: Greek yogurt with nuts, Dinner: Baked sweet potatoes with chicken, Snacks: Rice cakes with peanut butter"
165,55,Female,1,3000,"Breakfast: Grilled chicken salad, Lunch: Turkey sandwich, veggies, Dinner: Grilled chicken salad, Snacks: Trail mix"
161,40,Female,5,2638,"Breakfast: Protein bar, Lunch: Lean beef, roasted vegetables, Dinner: Lean beef, roasted vegetables, Snacks: Greek yogurt with granola"
168,48,Male,2,2110,"Breakfast: Stir-fried tofu, brown rice, Lunch: Chicken wrap with veggies, Dinner: Scrambled eggs, whole wheat bread, Snacks: Rice cakes with peanut butter"
171,118,Female,5,2254,"Breakfast: Fish with steamed vegetables, brown rice, Lunch: Protein shake, almond butter toast, Dinner: Protein bar, Snacks: Carrot sticks with hummus"
150,62,Male,0,2121,"Breakfast: Fruit smoothie, Lunch: Fruit smoothie, Dinner: Boiled egg with spinach, Snacks: Trail mix"
185,111,Female,4,2869,"Breakfast: Smoothie with spinach, banana, Lunch: Chicken breast with steamed veggies, Dinner: Smoothie with spinach, banana, Snacks: Protein bar"
181,77,Female,5,2017,"Breakfast: Lean beef, roasted vegetables, Lunch: Protein bar, Dinner: Lean beef, roasted vegetables, Snacks: Rice cakes with peanut butter"
166,78,Male,0,2334,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Boiled egg with spinach, Snacks: Carrot sticks with hummus"
155,75,Male,2,2560,"Breakfast: Chicken wrap with veggies, Lunch: Grilled salmon with quinoa, Dinner: Stir-fried tofu, brown rice, Snacks: Trail mix"
160,67,Female,4,1509,"Breakfast: Smoothie with spinach, banana, Lunch: Quinoa salad with feta cheese, Dinner: Grilled fish, salad, Snacks: Rice cakes with peanut butter"
165,89,Female,2,1600,"Breakfast: Scrambled eggs, whole wheat bread, Lunch: Grilled salmon with quinoa, Dinner: Stir-fried tofu, brown rice, Snacks: Trail mix"
188,113,Male,1,1369,"Breakfast: Greek yogurt with berries, Lunch: Turkey sandwich, veggies, Dinner: Grilled chicken salad, Snacks: Carrot sticks with hummus"
170,45,Male,0,1327,"Breakfast: Oatmeal with fruits, Lunch: Oatmeal with fruits, Dinner: Oatmeal with fruits, Snacks: Carrot sticks with hummus"
179,55,Female,0,2148,"Breakfast: Oatmeal with fruits, Lunch: Low-fat yogurt with honey, Dinner: Fruit smoothie, Snacks: Handful of mixed nuts"
167,118,Male,5,2660,"Breakfast: Fish with steamed vegetables, brown rice, Lunch: Protein shake, almond butter toast, Dinner: Lean beef, roasted vegetables, Snacks: Apple slices with almond butter"
180,74,Female,4,2201,"Breakfast: Smoothie with spinach, banana, Lunch: Grilled fish, salad, Dinner: Chicken breast with steamed veggies, Snacks: Apple slices with almond butter"
182,113,Female,1,2621,"Breakfast: Turkey sandwich, veggies, Lunch: Turkey sandwich, veggies, Dinner: Grilled chicken salad, Snacks: Carrot sticks with hummus"
155,91,Male,2,2546,"Breakfast: Grilled salmon with quinoa, Lunch: Scrambled eggs, whole wheat bread, Dinner: Stir-fried tofu, brown rice, Snacks: Carrot sticks with hummus"
157,70,Female,3,1200,"Breakfast: Greek yogurt with nuts, Lunch: Grilled chicken, quinoa, Dinner: Greek yogurt with nuts, Snacks: Greek yogurt with granola"
176,72,Female,1,2797,"Breakfast: Turkey sandwich, veggies, Lunch: Turkey sandwich, veggies, Dinner: Greek yogurt with berries, Snacks: Greek yogurt with granola"
189,101,Male,2,1772,"Breakfast: Chicken wrap with veggies, Lunch: Scrambled eggs, whole wheat bread, Dinner: Stir-fried tofu, brown rice, Snacks: Handful of mixed nuts"
175,116,Male,3,2727,"Breakfast: Greek yogurt with nuts, Lunch: Baked sweet potatoes with chicken, Dinner: Grilled chicken, quinoa, Snacks: Carrot sticks with hummus"
184,99,Male,3,2360,"Breakfast: Baked sweet potatoes with chicken, Lunch: Greek yogurt with nuts, Dinner: Grilled chicken, quinoa, Snacks: Carrot sticks with hummus"
153,44,Male,4,1675,"Breakfast: Smoothie with spinach, banana, Lunch: Quinoa salad with feta cheese, Dinner: Quinoa salad with feta cheese, Snacks: Rice cakes with peanut butter"
154,83,Female,0,2342,"Breakfast: Oatmeal with fruits, Lunch: Low-fat yogurt with honey, Dinner: Fruit smoothie, Snacks: Trail mix"
